method,bufsize,bytes,real_sec,user_sec,sys_sec
write_sync,1,1048576,560.828087250,3.104246000,150.485874000
write_sync,2,1048576,281.716939559,1.394330000,76.682559000
write_sync,4,1048576,139.638537159,0.674138000,38.077848000
write_sync,8,1048576,70.089779287,0.374303000,18.888813000
write_sync,16,1048576,34.917893000,0.172230000,9.526610000
write_sync,32,1048576,17.469682121,0.080044000,4.817529000
write_sync,64,1048576,8.856735898,0.047617000,2.405512000
write_sync,128,1048576,4.407117150,0.021724000,1.210233000
write_sync,256,1048576,2.265506431,0.008040000,0.617827000
write_sync,512,1048576,1.025390930,0.000000000,0.317214000
write_sync,1024,1048576,0.542591102,0.008237000,0.155851000
write_sync,2048,1048576,0.274431335,0.000340000,0.086984000
write_sync,4096,1048576,0.153762401,0.003979000,0.044351000
write_sync,8192,1048576,0.083410167,0.000000000,0.025990000
write_sync,16384,1048576,0.042934451,0.000000000,0.014283000
write_sync,32768,1048576,0.022895512,0.000000000,0.008388000
write_sync,65536,1048576,0.013124140,0.000000000,0.005404000
write_sync,16777216,1048576,0.185710419,0.000000000,0.020884000
